[2025-09-23 20:27:29] [INFO    ] discord.client: logging in using static token
[2025-09-23 20:27:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-23 20:27:29] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-23 20:27:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1420205586456510585', 'username': 'Hermes', 'avatar': 'b53fe21b0e982d220a2acb9d4a166114', 'discriminator': '4573', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-23 20:27:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-23 20:27:29] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-23 20:27:29] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1420205586456510585', 'name': 'Hermes', 'icon': 'b53fe21b0e982d220a2acb9d4a166114', 'description': 'Hermes is an app which will help users create announcements on multiple platforms.', 'type': None, 'bot': {'id': '1420205586456510585', 'username': 'Hermes', 'avatar': 'b53fe21b0e982d220a2acb9d4a166114', 'discriminator': '4573', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'a1c3b3671803ddb5fea335bb72ab1fc4c0cc9f94197619681f42d78c6cc617e7', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': ['https://discordapp.com/oauth2/authorize?&client_id=[1420205586456510585]&scope=bot', None], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '509748874416488450', 'username': 'primarch_vulkan', 'avatar': '9d0a08350a71c8e405613aba9958d414', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 1366532, 'global_name': 'meme_supreme', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#14da04', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-23 20:27:30] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-23 20:27:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-76pg",{"micros":0.0}]']}}
[2025-09-23 20:27:30] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-23 20:27:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-23 20:27:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Hermes', 'primary_guild': None, 'mfa_enabled': False, 'id': '1420205586456510585', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4573', 'clan': None, 'bot': True, 'avatar': 'b53fe21b0e982d220a2acb9d4a166114'}, 'session_type': 'normal', 'session_id': 'f1d9b2ccf0d0714e865049ef76e5d33f', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '914746562268241950'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-east', 'atlanta', 'newark', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1420205586456510585', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-76pg",{"micros":92382,"calls":["id_created",{"micros":429,"calls":[]},"session_lookup_time",{"micros":2693,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-163",{"micros":87995,"calls":["start_session",{"micros":83844,"calls":["discord-api-rpc-6fff595d6b-phzdn",{"micros":45822,"calls":["get_user",{"micros":6004},"get_guilds",{"micros":3012},"send_scheduled_deletion_message",{"micros":18},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":29307},"apex_experiments",{"micros":2320},"user_activities",{"micros":5},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":309,"calls":[]},"guilds_started",{"micros":75,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":3671,"calls":[]},"connect_finished",{"micros":3721,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-23 20:27:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
